"WHO_REGION","CODE","NAME","CoverageDTP1","CoverageDTP3","VaccinePregnant","VaccineAdult","VaccineRisk","TimeLastShot","TimeFirstShot","GENERALM","GENERALY","VaccineGeneral","VaccineCode","OutbreakSize2022","OutbreakSize2023","OutbreakSize","IncidencePre","IncidencePre25","IncidencePre75","IncidencePreIQR","Incidence2022","Change2022","Incidence2023","Change2023","Region","Income.group","VaccineAP","VaccineWP","Cluster"
"AMRO","MEX","Mexico",0.93,0.83,1,0,0,48,2,"4","1","5","Both","Low","Low",0,7.5,6.4,8.35,1.95,0.5,0.07,1.5,0.2,"Latin America & Caribbean","Upper middle income","TRUE","TRUE","High"
"WPRO","FSM","Micronesia (Federated States of)",0.92,0.69,0,0,0,138,2,"4","2","6","aP","Resurgence",NA,3,0,0,0,0,157.7,157701,NA,NA,"East Asia & Pacific","Lower middle income","TRUE","FALSE","Low"
"EURO","MCO","Monaco",0.99,0.99,0,1,0,156,2,"3","2","5","aP",NA,NA,NA,27,13.5,40.5,27,NA,NA,NA,NA,"Europe & Central Asia","High income","TRUE","FALSE","Mild"
"WPRO","MNG","Mongolia",0.97,0.95,0,0,0,4,2,"3","0","3","wP",NA,"Low",0,0,0,0,0,NA,NA,0,1,"East Asia & Pacific","Lower middle income","FALSE","TRUE","Low"
"EURO","MNE","Montenegro",0.93,0.8,0,0,0,72,2.06896551724138,"4","1","5","aP","Low","Resurgence",3,12.6,2.4,21.35,18.95,0,0,668.8,53.08,"Europe & Central Asia","Upper middle income","TRUE","FALSE","High"
"AMRO","MSR","Montserrat",NA,NA,0,0,0,18,2,"3","0","3","wP","Low","Low",0,0,0,0,0,0,1,0,1,NA,"Low income","FALSE","TRUE","Mild"
"EMRO","MAR","Morocco",0.99,0.99,0,0,0,60,2,"4","1","5","wP",NA,NA,NA,2,1.1,2.1,1,NA,NA,NA,NA,"Middle East & North Africa","Lower middle income","FALSE","TRUE","Mild"
"AFRO","MOZ","Mozambique",0.67,0.61,0,0,0,4,2,"3","0","3","wP",NA,NA,NA,0,0,0,0,NA,NA,NA,NA,"Sub-Saharan Africa","Low income","FALSE","TRUE","Low"
"SEARO","MMR","Myanmar",0.81,0.71,0,0,0,18,2,"4","0","4","wP",NA,"Resurgence",3,0.1,0.025,0.25,0.225,NA,NA,0.9,8.92,"East Asia & Pacific","Lower middle income","FALSE","TRUE","Mild"
"AFRO","NAM","Namibia",0.9,0.84,0,0,0,3.2183908045977,1.37931034482759,"3","0","3","wP","Resurgence","High",3,0,0,0.775,0.775,2.7,2701,0.8,801,"Sub-Saharan Africa","Upper middle income","FALSE","TRUE","Mild"
"WPRO","NRU","Nauru",0.99,0.98,0,0,0,48,1.37931034482759,"4","1","5","Both",NA,NA,NA,0,0,0,0,NA,NA,NA,NA,"East Asia & Pacific","High income","TRUE","TRUE","Low"
"SEARO","NPL","Nepal",0.95,0.9,0,0,0,3.2183908045977,1.37931034482759,"3","0","3","wP","Normal","Normal",1,135.5,68.8,171.6,102.8,158,1.17,136.1,1,"South Asia","Lower middle income","FALSE","TRUE","High"
"EURO","NLD","Netherlands (Kingdom of the)",0.97,0.93,1,0,1,48,3,"3","1","4","aP","Low",NA,0,311.3,220.55,398.35,177.8,7.3,0.02,NA,NA,"Europe & Central Asia","High income","TRUE","FALSE","High"
"WPRO","NCL","New Caledonia",NA,NA,0,1,0,132,2,"3","2","5","aP","Low","Low",0,21.7,7.5,49.1,41.6,0,0,0,0,"East Asia & Pacific","High income","TRUE","FALSE","High"
"WPRO","NZL","New Zealand",0.94,0.89,1,1,1,144,1.37931034482759,"3","2","5","aP","Low",NA,0,254.4,243.2,454.7,211.5,3.5,0.01,NA,NA,"East Asia & Pacific","High income","TRUE","FALSE","High"
"AMRO","NIC","Nicaragua",0.94,0.92,0,0,0,72,2,"4","1","5","wP","Low","Low",0,6.9,1.925,11.375,9.45,0,0,0,0,"Latin America & Caribbean","Lower middle income","FALSE","TRUE","Mild"
"AFRO","NER","Niger",0.96,0.84,0,0,0,3.2183908045977,1.37931034482759,"3","0","3","wP","High","High",2,17.95,0.45,24.425,23.975,25.6,1.43,43.7,2.43,"Sub-Saharan Africa","Low income","FALSE","TRUE","Mild"
"AFRO","NGA","Nigeria",0.7,0.62,0,0,0,3.2183908045977,1.37931034482759,"3","0","3","wP",NA,NA,NA,39.8,28.85,51.05,22.2,NA,NA,NA,NA,"Sub-Saharan Africa","Lower middle income","FALSE","TRUE","High"
"WPRO","NIU","Niue",0.99,0.99,1,0,0,132,1.37931034482759,"3","2","5","aP","Low","Low",0,0,0,0,0,0,1,0,1,NA,"Low income","TRUE","FALSE","Low"
"EURO","MKD","North Macedonia",0.92,0.84,0,0,0,84,2,"4","1","5","aP","Low","Normal",1,1.9,0.5,4.3,3.8,0,0,1.9,1,"Europe & Central Asia","Upper middle income","TRUE","FALSE","Mild"
"WPRO","MNP","Northern Mariana Islands",NA,NA,0,0,0,150,1.37931034482759,"4","2","6","aP",NA,"Low",0,0,0,0,0,NA,NA,0,1,"East Asia & Pacific","High income","TRUE","FALSE","Low"
"EURO","NOR","Norway",0.98,0.97,0,0,1,180,3,"3","2","5","aP","Low","Low",0,494,461,694.35,233.35,8.1,0.02,219.4,0.44,"Europe & Central Asia","High income","TRUE","FALSE","High"
"EMRO","PSE","occupied Palestinian territory, including east Jerusalem",0.99,0.98,0,0,0,18,2,"4","0","4","wP","Low","Normal",1,11.6,9.6,15.575,5.975,4.8,0.41,12.1,1.04,"Middle East & North Africa","Upper middle income","FALSE","TRUE","High"
"EMRO","OMN","Oman",0.99,0.99,1,0,1,18,2,"3","0","3","Both","Low","Normal",1,34.9,27.5,49.7,22.2,1.1,0.03,30.6,0.88,"Middle East & North Africa","High income","TRUE","TRUE","High"
"EMRO","PAK","Pakistan",0.93,0.85,0,0,0,3.2183908045977,1.37931034482759,"3","0","3","wP","Normal","Normal",1,0.4,0,0.75,0.75,0.7,1.75,0.6,1.5,"South Asia","Lower middle income","FALSE","TRUE","Mild"
"WPRO","PLW","Palau",0.99,0.94,0,0,0,120,2,"4","2","6","aP","Low","Low",0,0,0,0,0,0,1,0,1,"East Asia & Pacific","Upper middle income","TRUE","FALSE","Low"
"AMRO","PAN","Panama",0.98,0.87,1,0,1,120,2,"4","2","6","Both","Low",NA,0,5.5,2.925,10.7,7.775,0.2,0.04,NA,NA,"Latin America & Caribbean","High income","TRUE","TRUE","High"
"WPRO","PNG","Papua New Guinea",0.45,0.36,0,0,0,3,1,"3","0","3","wP","Normal","Normal",1,24.2,0,540.95,540.95,0.8,0.03,178.1,7.36,"East Asia & Pacific","Lower middle income","FALSE","TRUE","Mild"
"AMRO","PRY","Paraguay",0.82,0.69,1,0,1,120,2,"4","2","6","Both","Low","Low",0,6.05,4.225,8,3.775,0.6,0.1,0.9,0.15,"Latin America & Caribbean","Upper middle income","TRUE","TRUE","High"
"AMRO","PER","Peru",0.93,0.82,1,0,0,48,2,"4","1","5","wP","Low","Low",0,10.2,4.075,18.225,14.15,0.1,0.01,3.8,0.37,"Latin America & Caribbean","Upper middle income","FALSE","TRUE","High"
"WPRO","PHL","Philippines",0.74,0.72,0,0,0,3.2183908045977,1.37931034482759,"3","0","3","wP","Low","High",2,0.3,0,0.8,0.8,0,0,1.9,6.32,"East Asia & Pacific","Lower middle income","FALSE","TRUE","Mild"
"EURO","POL","Poland",0.99,0.9,0,0,1,168,1.72413793103448,"4","2","6","Both","Low",NA,0,68.05,44.35,110.8,66.45,9.3,0.14,NA,NA,"Europe & Central Asia","High income","TRUE","TRUE","High"
"EURO","PRT","Portugal",0.99,0.99,1,0,0,60,2,"4","1","5","aP","Low","Low",0,9,6.1,18.775,12.675,0.8,0.09,3,0.33,"Europe & Central Asia","High income","TRUE","FALSE","High"
"EMRO","QAT","Qatar",0.99,0.98,0,0,0,186,2,"4","2","6","aP","Resurgence","Resurgence",3,0,0,0,0,0.4,401,14,14001,"Middle East & North Africa","High income","TRUE","FALSE","Low"
"WPRO","KOR","Republic of Korea",0.98,0.98,0,0,0,138,2,"4","2","6","aP","Low",NA,0,2.45,1.625,4.45,2.825,0.6,0.25,NA,NA,"East Asia & Pacific","High income","TRUE","FALSE","High"
"EURO","MDA","Republic of Moldova",0.89,0.88,0,0,0,24,2,"3","1","4","wP","Low","High",2,44.85,26.75,65.9,39.15,1.8,0.04,122.5,2.73,"Europe & Central Asia","Upper middle income","FALSE","TRUE","High"
"EURO","ROU","Romania",0.89,0.85,1,0,0,168,2,"3","2","5","aP","Low","Low",0,4.35,3.725,4.7,0.975000000000001,0.5,0.12,0.8,0.18,"Europe & Central Asia","High income","TRUE","FALSE","High"
"EURO","RUS","Russian Federation",0.97,0.97,0,0,1,18,3,"4","0","4","wP","Low","Resurgence",3,40.9,33.125,55.1,21.975,22,0.54,365.4,8.93,"Europe & Central Asia","Upper middle income","FALSE","TRUE","High"
"AFRO","RWA","Rwanda",0.99,0.98,0,0,0,3.2183908045977,1.37931034482759,"3","0","3","wP","Low","Low",0,0,0,0,0,0,1,0,1,"Sub-Saharan Africa","Low income","FALSE","TRUE","Low"
"AMRO","KNA","Saint Kitts and Nevis",0.96,0.96,0,0,0,54,2,"4","1","5","wP","Low","Low",0,0,0,0,0,0,1,0,1,"Latin America & Caribbean","High income","FALSE","TRUE","Low"
"AMRO","LCA","Saint Lucia",0.92,0.81,0,0,0,60,2,"4","1","5","wP","Low","Low",0,0,0,0,0,0,1,0,1,"Latin America & Caribbean","Upper middle income","FALSE","TRUE","Low"
"AMRO","VCT","Saint Vincent and the Grenadines",0.97,0.92,0,0,0,18,2,"4","0","4","wP","Low",NA,0,0,0,0,0,0,1,NA,NA,"Latin America & Caribbean","Upper middle income","FALSE","TRUE","Low"
"WPRO","WSM","Samoa",0.97,0.76,0,0,0,15,1.37931034482759,"4","0","4","wP","Low","Low",0,0,0,28.25,28.25,0,1,0,1,"East Asia & Pacific","Lower middle income","FALSE","TRUE","Mild"
"EURO","SMR","San Marino",0.93,0.92,0,1,0,180,3,"3","2","5","aP","Low","Resurgence",3,0,0,0,0,0,1,29.7,29701,"Europe & Central Asia","High income","TRUE","FALSE","Low"
"AFRO","STP","Sao Tome and Principe",0.97,0.97,0,0,0,3.2183908045977,1.37931034482759,"3","0","3","wP",NA,NA,NA,0,0,0,0,NA,NA,NA,NA,"Sub-Saharan Africa","Lower middle income","FALSE","TRUE","Low"
"EMRO","SAU","Saudi Arabia",0.98,0.98,1,0,0,60,2,"4","1","5","aP","Normal","Resurgence",3,0.25,0.05,1,0.95,0.5,2,2.7,10.76,"Middle East & North Africa","High income","TRUE","FALSE","Mild"
"AFRO","SEN","Senegal",0.9,0.88,0,0,0,3.2183908045977,1.37931034482759,"3","0","3","wP","Low","Low",0,0,0,0.1,0.1,0,1,0,1,"Sub-Saharan Africa","Lower middle income","FALSE","TRUE","Low"
"EURO","SRB","Serbia",0.97,0.92,0,0,0,84,1.83908045977012,"4","1","5","aP","Low","Resurgence",3,11.8,5.2,37.2,32,0.7,0.06,198.8,16.85,"Europe & Central Asia","Upper middle income","TRUE","FALSE","High"
"AFRO","SYC","Seychelles",0.99,0.97,0,0,0,18,3,"4","0","4","wP","Low","Low",0,0,0,16.2,16.2,0,1,0,1,"Sub-Saharan Africa","High income","FALSE","TRUE","Mild"
"AFRO","SLE","Sierra Leone",0.92,0.91,0,0,0,3.2183908045977,1.37931034482759,"3","0","3","wP",NA,NA,NA,3.5,3.5,3.5,0,NA,NA,NA,NA,"Sub-Saharan Africa","Low income","FALSE","TRUE","High"
"WPRO","SGP","Singapore",0.99,0.97,1,0,0,132,2,"4","1","5","aP","Low","Low",0,7.895,4.005,12.995,8.99,0.35,0.04,3.55,0.45,"East Asia & Pacific","High income","TRUE","FALSE","High"
"AMRO","SXM","Sint Maarten (Dutch part)",NA,NA,0,0,0,12,2,"4","0","4","aP",NA,NA,NA,0,0,0,0,NA,NA,NA,NA,"Latin America & Caribbean","High income","TRUE","FALSE","Low"
"EURO","SVK","Slovakia",0.97,0.97,0,0,0,144,2,"3","2","5","aP","Low","Low",0,148.1,63.45,175,111.55,22.5,0.15,38.5,0.26,"Europe & Central Asia","High income","TRUE","FALSE","High"
"EURO","SVN","Slovenia",0.92,0.89,1,0,0,96,3,"3","1","4","aP","Low","Low",0,93.55,66.2,128.5,62.3,24.1,0.26,59.4,0.63,"Europe & Central Asia","High income","TRUE","FALSE","High"
"WPRO","SLB","Solomon Islands",0.99,0.89,0,0,0,3.2183908045977,1.37931034482759,"3","0","3","wP","Resurgence",NA,3,0,0,0,0,2.8,2801,NA,NA,"East Asia & Pacific","Lower middle income","FALSE","TRUE","Low"
"EMRO","SOM","Somalia",0.52,0.42,0,0,0,3.2183908045977,1.37931034482759,"3","0","3","wP",NA,NA,NA,66.6,19.375,205.4,186.025,NA,NA,NA,NA,"Sub-Saharan Africa","Low income","FALSE","TRUE","High"
"AFRO","ZAF","South Africa",0.87,0.85,0,0,0,18,1.37931034482759,"4","0","4","aP","Resurgence","Normal",3,2.85,1.8,5.55,3.75,13.2,4.63,4.4,1.54,"Sub-Saharan Africa","Upper middle income","TRUE","FALSE","High"
"AFRO","SSD","South Sudan",0.76,0.73,0,0,0,3.2183908045977,1.37931034482759,"3","0","3","wP","Low","Resurgence",3,0,0,0.15,0.15,0,1,4.7,4701,"Sub-Saharan Africa","Low income","FALSE","TRUE","Low"
"EURO","ESP","Spain",0.98,0.93,1,0,1,72,2,"3","1","4","aP","Low","Low",0,69.85,61.475,83.6,22.125,4.5,0.06,53.9,0.77,"Europe & Central Asia","High income","TRUE","FALSE","High"
"SEARO","LKA","Sri Lanka",0.98,0.98,0,0,0,18,2,"4","0","4","wP","Low","Low",0,1.45,0.3,2.8,2.5,0,0,0.1,0.07,"South Asia","Lower middle income","FALSE","TRUE","Mild"
"EMRO","SDN","Sudan",0.94,0.84,0,0,0,3.2183908045977,1.37931034482759,"3","0","3","wP",NA,"Normal",1,3.3,1.95,3.8,1.85,NA,NA,2.3,0.7,"Sub-Saharan Africa","Low income","FALSE","TRUE","Mild"
"AMRO","SUR","Suriname",0.83,0.77,0,0,1,54,2,"4","1","5","wP","Resurgence","Low",3,0.85,0,2.675,2.675,53.4,62.75,0,0,"Latin America & Caribbean","Upper middle income","FALSE","TRUE","Mild"
"EURO","SWE","Sweden",0.96,0.94,1,0,0,180,3,"3","2","5","aP","Low","Low",0,64.7,28.85,72.55,43.7,1.2,0.02,13,0.2,"Europe & Central Asia","High income","TRUE","FALSE","High"
"EURO","CHE","Switzerland",0.97,0.96,0,0,0,156,2,"3","2","5","aP",NA,NA,NA,754.2,594.1,841.6,247.5,NA,NA,NA,NA,"Europe & Central Asia","High income","TRUE","FALSE","High"
"EMRO","SYR","Syrian Arab Republic",0.64,0.46,0,0,0,18,1.83908045977012,"4","0","4","wP","Resurgence","High",3,1.6,1.1,4,2.9,15.5,9.68,5.2,3.25,"Middle East & North Africa","Low income","FALSE","TRUE","Mild"
"EURO","TJK","Tajikistan",0.98,0.97,0,0,0,19.5,2,"4","0","4","wP","High","Resurgence",3,0.7,0.6,4,3.4,7.4,10.56,58.7,83.74,"Europe & Central Asia","Lower middle income","FALSE","TRUE","Mild"
"SEARO","THA","Thailand",0.99,0.97,0,0,0,48,2,"3","2","5","wP","Low","Resurgence",3,0.5,0.2,1.025,0.825,0.1,0.2,5.47,10.92,"East Asia & Pacific","Upper middle income","FALSE","TRUE","Mild"
"SEARO","TLS","Timor-Leste",0.87,0.86,0,0,0,18,1.37931034482759,"4","0","4","wP","Low","Low",0,0.4,0,3.975,3.975,0,0,0,0,"East Asia & Pacific","Lower middle income","FALSE","TRUE","Mild"
"AFRO","TGO","Togo",0.88,0.82,0,0,0,3.2183908045977,1.37931034482759,"3","0","3","wP",NA,"Resurgence",3,4.6,3.4,5.2,1.8,NA,NA,23.1,5.02,"Sub-Saharan Africa","Low income","FALSE","TRUE","High"
"WPRO","TKL","Tokelau",NA,NA,0,0,0,60,1.37931034482759,"3","1","4","wP",NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,"Low income","FALSE","TRUE","Low"
"WPRO","TON","Tonga",0.99,0.99,0,0,0,60,1.37931034482759,"4","1","5","wP",NA,"Low",0,0,0,0,0,NA,NA,0,1,"East Asia & Pacific","Upper middle income","FALSE","TRUE","Low"
"AMRO","TTO","Trinidad and Tobago",0.97,0.93,0,0,0,54,2,"4","1","5","wP","Low","Low",0,0,0,0,0,0,1,0,1,"Latin America & Caribbean","High income","FALSE","TRUE","Low"
"EMRO","TUN","Tunisia",0.99,0.97,0,0,0,18,2,"4","0","4","wP","Normal",NA,1,0.9,0.325,9.75,9.425,0.4,0.45,NA,NA,"Middle East & North Africa","Lower middle income","FALSE","TRUE","Mild"
"EURO","TUR","Türkiye",0.99,0.99,0,0,0,48,2,"4","1","5","aP","Low",NA,0,0.8,0.475,2.125,1.65,0.1,0.13,NA,NA,"Europe & Central Asia","Upper middle income","TRUE","FALSE","Mild"
"EURO","TKM","Turkmenistan",0.99,0.98,0,0,0,18,2,"4","0","4","wP","Low","Low",0,0,0,0,0,0,1,0,1,"Europe & Central Asia","Upper middle income","FALSE","TRUE","Low"
"AMRO","TCA","Turks and Caicos Islands",NA,NA,0,0,0,36,2,"4","1","5","wP","Low","Low",0,0,0,0,0,0,1,0,1,"Latin America & Caribbean","High income","FALSE","TRUE","Low"
"WPRO","TUV","Tuvalu",0.99,0.91,0,0,0,66,1.37931034482759,"3","1","4","wP",NA,NA,NA,0,0,0,0,NA,NA,NA,NA,"East Asia & Pacific","Upper middle income","FALSE","TRUE","Low"
"AFRO","UGA","Uganda",0.94,0.89,0,0,0,3.2183908045977,1.37931034482759,"3","0","3","wP",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,"Sub-Saharan Africa","Low income","FALSE","TRUE","High"
"EURO","UKR","Ukraine",0.78,0.73,0,0,0,18,2,"4","0","4","wP","Low","Low",0,53.1,50.175,57.75,7.575,0.8,0.02,19.2,0.36,"Europe & Central Asia","Lower middle income","FALSE","TRUE","High"
"EMRO","ARE","United Arab Emirates",0.98,0.96,0,1,1,186,2,"4","2","6","Both","Low","High",2,3.2,2,7,5,0,0,9.6,3,"Middle East & North Africa","High income","TRUE","TRUE","High"
"EURO","GBR","United Kingdom of Great Britain and Northern Ireland",0.97,0.92,0,0,0,40,1.83908045977012,"3","0","3","aP","Low","Low",0,73.15,54.25,90.975,36.725,1.2,0.02,13.9,0.19,"Europe & Central Asia","High income","TRUE","FALSE","High"
"AFRO","TZA","United Republic of Tanzania",0.91,0.88,0,0,0,3.2183908045977,1.37931034482759,"3","0","3","wP",NA,NA,NA,0,0,0,0,NA,NA,NA,NA,"Sub-Saharan Africa","Lower middle income","FALSE","TRUE","Low"
"AMRO","USA","United States of America",0.98,0.94,1,1,0,132,2,"4","2","6","aP","Low","Low",0,63.7,57.5,89.7,32.2,6.3,0.1,16.41,0.26,"North America","High income","TRUE","FALSE","High"
"AMRO","URY","Uruguay",0.99,0.94,1,0,1,132,2,"4","2","6","Both","Low","Low",0,90.55,28.725,160.225,131.5,1.8,0.02,7,0.08,"Latin America & Caribbean","High income","TRUE","TRUE","High"
"EURO","UZB","Uzbekistan",0.99,0.99,0,0,0,16,2,"4","0","4","wP","Low","Low",0,1.75,1.2,2.975,1.775,0.1,0.06,0.4,0.23,"Europe & Central Asia","Lower middle income","FALSE","TRUE","Mild"
"WPRO","VUT","Vanuatu",0.83,0.68,0,0,0,3.2183908045977,1.37931034482759,"3","0","3","wP","Normal","Normal",1,0,0,18.5,18.5,3.1,3101,3,3001,"East Asia & Pacific","Lower middle income","FALSE","TRUE","High"
"AMRO","VEN","Venezuela (Bolivarian Republic of)",0.73,0.56,0,0,0,60,2,"4","1","5","wP",NA,"Low",0,0.15,0.025,0.6,0.575,NA,NA,0,0.01,"Latin America & Caribbean","Low income","FALSE","TRUE","Mild"
"WPRO","VNM","Viet Nam",0.92,0.91,0,0,0,18,2,"4","0","4","wP","Low","Low",0,2.05,1.025,5.275,4.25,0.2,0.1,0.4,0.2,"East Asia & Pacific","Lower middle income","FALSE","TRUE","High"
"WPRO","WLF","Wallis and Futuna",NA,NA,0,0,0,72,2,"3","1","4","aP",NA,NA,NA,0,0,126.95,126.95,NA,NA,NA,NA,NA,"Low income","TRUE","FALSE","High"
"EMRO","YEM","Yemen",0.85,0.74,0,0,0,72,1.37931034482759,"4","1","5","wP",NA,"Low",0,98.05,92.65,121.6,28.95,NA,NA,0.1,0,"Middle East & North Africa","Low income","FALSE","TRUE","High"
"AFRO","ZMB","Zambia",0.86,0.82,0,0,0,3.2183908045977,1.37931034482759,"3","0","3","wP",NA,NA,NA,0,0,0,0,NA,NA,NA,NA,"Sub-Saharan Africa","Lower middle income","FALSE","TRUE","Low"
"AFRO","ZWE","Zimbabwe",0.93,0.9,0,0,0,18,1.37931034482759,"4","0","4","wP","Resurgence","Resurgence",3,0,0,0,0,0.9,901,0.9,901,"Sub-Saharan Africa","Lower middle income","FALSE","TRUE","Low"
